topic,question,expected_answer,latency,activation_count,agent_name,email_id,email_subject,email_body,sentiment,response
Order Tracking,"Hi, I placed an order last week, but it hasn't arrived yet. Can you help me track it?","Hello! I see that you placed an order last week and are looking to track it. Based on the information retrieved:

- **Response:** Please allow 3-5 business days for your order to arrive.

If you have any further questions or need additional assistance, feel free to ask!",6485.40 ms,4,email_ingestion_agent,123,Need help with my order,"Hi, I placed an order last week, but it hasn't arrived yet. Can you help me track it?",,
Order Tracking,"Hi, I placed an order last week, but it hasn't arrived yet. Can you help me track it?","Hello! I see that you placed an order last week and are looking to track it. Based on the information retrieved:

- **Response:** Please allow 3-5 business days for your order to arrive.

If you have any further questions or need additional assistance, feel free to ask!",6485.40 ms,4,email_ingestion_agent,124,Question about my subscription,"Hello, I have a question about my subscription renewal. Can you provide more details?",,
Order Tracking,"Hi, I placed an order last week, but it hasn't arrived yet. Can you help me track it?","Hello! I see that you placed an order last week and are looking to track it. Based on the information retrieved:

- **Response:** Please allow 3-5 business days for your order to arrive.

If you have any further questions or need additional assistance, feel free to ask!",6485.40 ms,4,sentiment_analysis_agent,123,,,neutral,
Order Tracking,"Hi, I placed an order last week, but it hasn't arrived yet. Can you help me track it?","Hello! I see that you placed an order last week and are looking to track it. Based on the information retrieved:

- **Response:** Please allow 3-5 business days for your order to arrive.

If you have any further questions or need additional assistance, feel free to ask!",6485.40 ms,4,sentiment_analysis_agent,124,,,positive,
Order Tracking,"Hi, I placed an order last week, but it hasn't arrived yet. Can you help me track it?","Hello! I see that you placed an order last week and are looking to track it. Based on the information retrieved:

- **Response:** Please allow 3-5 business days for your order to arrive.

If you have any further questions or need additional assistance, feel free to ask!",6485.40 ms,4,faq_knowledge_base_agent,123,,,,Please allow 3-5 business days for your order to arrive.
Order Tracking,"Hi, I placed an order last week, but it hasn't arrived yet. Can you help me track it?","Hello! I see that you placed an order last week and are looking to track it. Based on the information retrieved:

- **Response:** Please allow 3-5 business days for your order to arrive.

If you have any further questions or need additional assistance, feel free to ask!",6485.40 ms,4,faq_knowledge_base_agent,124,,,,Your subscription will renew on the 15th of next month.
Subscription Inquiry,"Hello, I have a question about my subscription renewal. Can you provide more details?","Hello! Regarding your subscription renewal, your subscription will renew on the 15th of next month. If you have any further questions or need assistance, feel free to ask!",8385.05 ms,4,email_ingestion_agent,123,Need help with my order,"Hi, I placed an order last week, but it hasn't arrived yet. Can you help me track it?",,
Subscription Inquiry,"Hello, I have a question about my subscription renewal. Can you provide more details?","Hello! Regarding your subscription renewal, your subscription will renew on the 15th of next month. If you have any further questions or need assistance, feel free to ask!",8385.05 ms,4,email_ingestion_agent,124,Question about my subscription,"Hello, I have a question about my subscription renewal. Can you provide more details?",,
Subscription Inquiry,"Hello, I have a question about my subscription renewal. Can you provide more details?","Hello! Regarding your subscription renewal, your subscription will renew on the 15th of next month. If you have any further questions or need assistance, feel free to ask!",8385.05 ms,4,sentiment_analysis_agent,123,,,neutral,
Subscription Inquiry,"Hello, I have a question about my subscription renewal. Can you provide more details?","Hello! Regarding your subscription renewal, your subscription will renew on the 15th of next month. If you have any further questions or need assistance, feel free to ask!",8385.05 ms,4,sentiment_analysis_agent,124,,,positive,
Subscription Inquiry,"Hello, I have a question about my subscription renewal. Can you provide more details?","Hello! Regarding your subscription renewal, your subscription will renew on the 15th of next month. If you have any further questions or need assistance, feel free to ask!",8385.05 ms,4,faq_knowledge_base_agent,123,,,,Please allow 3-5 business days for your order to arrive.
Subscription Inquiry,"Hello, I have a question about my subscription renewal. Can you provide more details?","Hello! Regarding your subscription renewal, your subscription will renew on the 15th of next month. If you have any further questions or need assistance, feel free to ask!",8385.05 ms,4,faq_knowledge_base_agent,124,,,,Your subscription will renew on the 15th of next month.
Urgent Support Request,"Hi, my user_id is 123. I've been trying to get in touch with customer support for 3 days now, and I'm not getting any response. Can you help me?","Hello! I understand you've been trying to reach customer support without success. Here are the relevant emails I found:

1. **Subject:** Need help with my order  
   - **Response:** ""Please allow 3-5 business days for your order to arrive.""

2. **Subject:** Question about my subscription  
   - **Response:** ""Your subscription will renew on the 15th of next month.""

The first email is a straightforward request for assistance regarding an order, and the second is a friendly inquiry about a subscription. Since there are no urgent issues identified, I recommend waiting for the standard response time. If you need further assistance or wish to send these responses, please let me know!",5638.41 ms,4,email_ingestion_agent,123,Need help with my order,"Hi, I placed an order last week, but it hasn't arrived yet. Can you help me track it?",,
Urgent Support Request,"Hi, my user_id is 123. I've been trying to get in touch with customer support for 3 days now, and I'm not getting any response. Can you help me?","Hello! I understand you've been trying to reach customer support without success. Here are the relevant emails I found:

1. **Subject:** Need help with my order  
   - **Response:** ""Please allow 3-5 business days for your order to arrive.""

2. **Subject:** Question about my subscription  
   - **Response:** ""Your subscription will renew on the 15th of next month.""

The first email is a straightforward request for assistance regarding an order, and the second is a friendly inquiry about a subscription. Since there are no urgent issues identified, I recommend waiting for the standard response time. If you need further assistance or wish to send these responses, please let me know!",5638.41 ms,4,email_ingestion_agent,124,Question about my subscription,"Hello, I have a question about my subscription renewal. Can you provide more details?",,
Urgent Support Request,"Hi, my user_id is 123. I've been trying to get in touch with customer support for 3 days now, and I'm not getting any response. Can you help me?","Hello! I understand you've been trying to reach customer support without success. Here are the relevant emails I found:

1. **Subject:** Need help with my order  
   - **Response:** ""Please allow 3-5 business days for your order to arrive.""

2. **Subject:** Question about my subscription  
   - **Response:** ""Your subscription will renew on the 15th of next month.""

The first email is a straightforward request for assistance regarding an order, and the second is a friendly inquiry about a subscription. Since there are no urgent issues identified, I recommend waiting for the standard response time. If you need further assistance or wish to send these responses, please let me know!",5638.41 ms,4,sentiment_analysis_agent,123,,,neutral,
Urgent Support Request,"Hi, my user_id is 123. I've been trying to get in touch with customer support for 3 days now, and I'm not getting any response. Can you help me?","Hello! I understand you've been trying to reach customer support without success. Here are the relevant emails I found:

1. **Subject:** Need help with my order  
   - **Response:** ""Please allow 3-5 business days for your order to arrive.""

2. **Subject:** Question about my subscription  
   - **Response:** ""Your subscription will renew on the 15th of next month.""

The first email is a straightforward request for assistance regarding an order, and the second is a friendly inquiry about a subscription. Since there are no urgent issues identified, I recommend waiting for the standard response time. If you need further assistance or wish to send these responses, please let me know!",5638.41 ms,4,sentiment_analysis_agent,124,,,positive,
Urgent Support Request,"Hi, my user_id is 123. I've been trying to get in touch with customer support for 3 days now, and I'm not getting any response. Can you help me?","Hello! I understand you've been trying to reach customer support without success. Here are the relevant emails I found:

1. **Subject:** Need help with my order  
   - **Response:** ""Please allow 3-5 business days for your order to arrive.""

2. **Subject:** Question about my subscription  
   - **Response:** ""Your subscription will renew on the 15th of next month.""

The first email is a straightforward request for assistance regarding an order, and the second is a friendly inquiry about a subscription. Since there are no urgent issues identified, I recommend waiting for the standard response time. If you need further assistance or wish to send these responses, please let me know!",5638.41 ms,4,faq_knowledge_base_agent,123,,,,Please allow 3-5 business days for your order to arrive.
Urgent Support Request,"Hi, my user_id is 123. I've been trying to get in touch with customer support for 3 days now, and I'm not getting any response. Can you help me?","Hello! I understand you've been trying to reach customer support without success. Here are the relevant emails I found:

1. **Subject:** Need help with my order  
   - **Response:** ""Please allow 3-5 business days for your order to arrive.""

2. **Subject:** Question about my subscription  
   - **Response:** ""Your subscription will renew on the 15th of next month.""

The first email is a straightforward request for assistance regarding an order, and the second is a friendly inquiry about a subscription. Since there are no urgent issues identified, I recommend waiting for the standard response time. If you need further assistance or wish to send these responses, please let me know!",5638.41 ms,4,faq_knowledge_base_agent,124,,,,Your subscription will renew on the 15th of next month.
